Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
6000,350,3,1,3,1300,0,Copacabana,Rio de Janeiro,sul
9000,276,4,4,5,2206,1050,Barra da Tijuca,Rio de Janeiro,oeste
2700,73,2,1,1,658,127,Botafogo,Rio de Janeiro,sul
4000,97,3,1,3,1460,300,Humaitá,Rio de Janeiro,sul
2100,70,2,1,2,490,110,Barra da Tijuca,Rio de Janeiro,oeste
2150,130,4,1,3,0,0,Senador Vasconcelos,Rio de Janeiro,oeste
900,70,2,1,2,300,120,Madureira,Rio de Janeiro,norte
800,65,2,1,1,350,0,Pilares,Rio de Janeiro,norte
1100,60,3,0,2,0,0,Rocha,Rio de Janeiro,norte
0,300,5,2,7,0,0,São Conrado,Rio de Janeiro,sul
3500,136,2,2,3,1100,300,Jacarepaguá,Rio de Janeiro,oeste
1700,176,4,1,3,70,63,Praça Seca,Rio de Janeiro,oeste
1206,70,2,1,1,600,42,Taquara,Rio de Janeiro,oeste
700,50,2,2,1,385,0,Turiaçu, Rio de Janeiro,norte
4900,95,3,0,3,1100,300,Copacabana,Rio de Janeiro,sul
1300,51,2,1,1,500,60,Taquara, Rio de Janeiro,oeste
1300,74,3,1,3,492,81,Pechincha,Rio de Janeiro,oeste
2200,80,2,3,2,0,1100,Tanque,Rio de Janeiro,oeste
2350,74,3,1,2,870,130,Pechincha,Rio de Janeiro,oeste
1750,111,2,0,2,0,0,Jardim Carioca,Rio de Janeiro,norte
1500,48,2,1,1,422,46,Irajá,Rio de Janeiro,norte
1400,50,2,1,1,350,0,Curicica, Rio de Janeiro,oeste
1445,48,2,0,1,485,0,Anil, Rio de Janeiro,oeste
2300,141,3,1,2,0,73,Bonsucesso,Rio de Janeiro,norte
2500,72,2,1,2,770,190,Tijuca,Rio de Janeiro,norte
1100,70,2,0,1,0,0,Olaria,Rio de Janeiro,norte
2200,75,2,1,1,0,0,Cachambi,Rio de Janeiro,norte
1100,60,1,1,2,500,50,Engenho Novo,Rio de Janeiro,norte
2000,113,3,0,1,635,116,Maracanã, Rio de Janeiro,norte
950,70,2,1,2,283,0,Guaratiba,Rio de Janeiro,oeste
1470,47,2,1,1,415,46,Irajá,Rio de Janeiro,norte
950,50,2,0,1,0,0,Pilares, Rio de Janeiro,norte
1100,55,2,0,1,250,60,Todos os Santos,Rio de Janeiro,norte
8700,145,3,1,2,1970,642,Leblon,Rio de Janeiro,sul
2800,50,1,0,1,530,140,Copacabana,Rio de Janeiro,sul
1350,60,2,1,2,670,59,Engenho De Dentro,Rio de Janeiro,norte
900,46,2,0,2,0,0,Vicente de Carvalho,Rio de Janeiro,norte
3400,107,4,2,4,1630,209,Tijuca,Rio de Janeiro,norte
1237,75,2,1,2,310,0,Irajá,Rio de Janeiro,norte
1800,61,2,1,2,650,83,Pechincha,Rio de Janeiro,oeste
5000,250,3,1,3,300,250,Freguesia,Rio de Janeiro,norte
1200,61,2,1,1,762,45,Engenho Novo,Rio de Janeiro,norte
2100,100,2,1,2,0,0,Irajá,Rio de Janeiro,norte
7350,130,3,1,3,2500,652,Ipanema,Rio de Janeiro,sul
800,45,2,1,1,320,0,Campo Grande,Rio de Janeiro,oeste
891,55,2,1,1,350,0,Abolição,Rio de Janeiro,norte
857,45,2,0,1,270,0,Piedade,Rio de Janeiro,norte
650,50,1,0,1,260,0,Engenheiro Leal,Rio de Janeiro,norte
1500,150,3,1,1,0,0,Realengo,Rio de Janeiro,oeste
1200,44,2,1,1,0,0,Pechincha,Rio de Janeiro,oeste
3300,70,2,1,2,1225,314,Jardim Botânico,Rio de Janeiro,sul
1400,85,2,0,2,360,80,Maracanã,Rio de Janeiro,norte
1810,67,1,1,1,420,73,Andaraí,Rio de Janeiro,norte
2500,89,2,1,1,670,67,Engenho Novo,Rio de Janeiro,norte
2200,69,2,1,2,1300,1500,Jacarepaguá,Rio de Janeiro,oeste
2100,86,2,1,3,673,189,Grajaú,Rio de Janeiro,norte
3000,80,2,1,3,722,180,Jacarepaguá,Rio de Janeiro,oeste
900,45,2,1,1,180,0,Realengo,Rio de Janeiro,oeste
800,45,2,0,1,460,0,Engenho Novo,Rio de Janeiro,norte
