Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
5500,110,3,1,2,1818,475,Leblon,Rio de Janeiro,sul
1100,80,3,0,1,366,0,São Cristóvão, Rio de Janeiro,centro
990,60,2,0,1,260,0,Cascadura,Rio de Janeiro,norte
1700,97,2,1,1,690,78,Maracanã, Rio de Janeiro,norte
1900,67,2,0,3,700,76,Vila Isabel,Rio de Janeiro,norte
1220,40,1,0,1,0,9,Todos os Santos,Rio de Janeiro,norte
1150,38,1,0,1,345,0,Estácio,Rio de Janeiro,centro
850,34,1,1,1,380,109,Centro,Rio de Janeiro,centro
3500,212,3,1,3,170,75,Curicica,Rio de Janeiro,oeste
900,44,2,1,1,276,0,Campo Grande,Rio de Janeiro,oeste
750,45,1,0,1,170,0,Oswaldo Cruz,Rio de Janeiro,norte
3264,56,3,0,2,850,11,Vila Isabel,Rio de Janeiro,norte
5500,160,4,2,3,1100,350,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
4400,98,2,1,1,1142,186,Gávea,Rio de Janeiro,sul
800,58,3,0,1,70,0,Cascadura,Rio de Janeiro,norte
750,25,1,0,1,60,50,Campo Grande,Rio de Janeiro,oeste
5250,850,3,1,3,0,1000,Grajaú,Rio de Janeiro,norte
800,49,2,1,1,250,0,Pechincha,Rio de Janeiro,oeste
2400,70,2,1,2,900,92,Grajaú,Rio de Janeiro,norte
800,45,1,0,1,0,0,Marechal Hermes,Rio de Janeiro,norte
1900,60,2,1,2,800,82,Freguesia,Rio de Janeiro,norte
9000,276,4,4,5,2206,1050,Barra da Tijuca,Rio de Janeiro,oeste
856,50,2,0,1,0,0,Engenho Da Rainha,Rio de Janeiro,norte
2400,80,2,0,1,850,290,Copacabana,Rio de Janeiro,sul
600,45,2,0,1,0,0,Vigário Geral,Rio de Janeiro,norte
1902,95,2,1,3,900,146,Freguesia,Rio de Janeiro,norte
1500,56,2,1,1,600,1000,Pechincha,Rio de Janeiro,oeste
8500,350,5,2,3,0,0,Campo Grande,Rio de Janeiro,oeste
700,45,1,0,1,300,0,Jacarepaguá,Rio de Janeiro,oeste
2040,82,2,1,1,800,56,Todos os Santos,Rio de Janeiro,norte
1500,54,2,1,1,0,0,Jardim Sulacap,Rio de Janeiro,oeste
950,30,1,0,1,550,0,Centro, Rio de Janeiro,centro
550,18,1,0,1,0,0,Penha,Rio de Janeiro,norte
2800,80,2,1,1,200,180,Botafogo,Rio de Janeiro,sul
1300,85,3,1,1,387,0,Méier,Rio de Janeiro,norte
700,31,1,1,1,355,0,Taquara,Rio de Janeiro,oeste
1650,90,2,0,2,160,80,Olaria,Rio de Janeiro,norte
1200,90,3,1,1,600,48,Engenho Novo,Rio de Janeiro,norte
6000,138,3,1,2,2200,641,Gávea,Rio de Janeiro,sul
3500,85,3,1,2,660,210,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1300,100,2,1,1,650,42,Méier,Rio de Janeiro,norte
2000,55,2,0,1,827,79,Tijuca,Rio de Janeiro,norte
5000,71,2,1,0,0,0,Botafogo,Rio de Janeiro,sul
1300,100,2,0,2,300,80,Todos os Santos,Rio de Janeiro,norte
2000,89,3,1,2,757,62,Praça da Bandeira,Rio de Janeiro,norte
4500,140,3,1,3,960,214,Copacabana,Rio de Janeiro,sul
800,70,1,1,1,500,0,Praça Seca,Rio de Janeiro,oeste
5500,110,3,2,2,580,447,Barra da Tijuca,Rio de Janeiro,oeste
3200,82,3,2,2,1233,1711,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1350,100,2,1,2,0,13,Campo Grande,Rio de Janeiro,oeste
2900,74,2,1,1,822,140,Flamengo,Rio de Janeiro,sul
4460,290,5,4,4,0,167,Campo Grande,Rio de Janeiro,oeste
3800,292,3,1,3,0,234,Campo Grande,Rio de Janeiro,oeste
1500,130,3,0,2,800,160,Andaraí,Rio de Janeiro,norte
1500,116,3,1,2,600,140,Penha Circular,Rio de Janeiro,norte
1967,102,3,1,2,660,89,Grajaú,Rio de Janeiro,norte
5500,110,3,1,2,1818,475,Leblon,Rio de Janeiro,sul
3000,80,2,1,2,778,339,Copacabana,Rio de Janeiro,sul
1000,50,1,1,1,330,10,Irajá,Rio de Janeiro,norte
900,70,2,1,1,520,97,Riachuelo,Rio de Janeiro,norte
1000,45,2,0,1,0,0,Pavuna,Rio de Janeiro,norte
4000,80,2,1,1,1185,350,Catete,Rio de Janeiro,sul
3600,192,3,2,5,640,190,Vargem Grande,Rio de Janeiro,oeste
1700,70,2,1,1,60,0,Curicica,Rio de Janeiro,oeste
2900,68,2,1,1,969,204,Copacabana,Rio de Janeiro,sul
1000,80,3,1,1,480,0,Penha,Rio de Janeiro,norte
2500,70,3,1,2,1000,62,Tijuca,Rio de Janeiro,norte
830,50,2,1,1,259,0,Guaratiba,Rio de Janeiro,oeste
670,67,2,0,1,240,0,Senador Camará,Rio de Janeiro,oeste
890,74,2,1,1,400,550,Engenho Novo,Rio de Janeiro,norte
2200,50,2,0,1,290,0,Tijuca,Rio de Janeiro,norte
1700,93,3,0,1,0,55,Cachambi, Rio de Janeiro,norte
600,50,2,1,1,400,0,Campo Grande,Rio de Janeiro,oeste
1400,65,2,0,1,603,64,Vila Isabel,Rio de Janeiro,norte
5000,120,3,1,3,1000,900,Copacabana,Rio de Janeiro,sul
1350,45,2,0,1,0,0,Irajá,Rio de Janeiro,norte
800,40,1,0,1,0,0,São Cristóvão, Rio de Janeiro,centro
2000,150,3,0,1,0,1025,Maracanã,Rio de Janeiro,norte
2400,90,3,0,3,0,0,Coelho Neto,Rio de Janeiro,norte
1470,117,3,0,1,495,50,Piedade,Rio de Janeiro,norte
4000,172,4,5,3,0,0,Higienópolis,Rio de Janeiro,norte
4600,85,2,1,2,1171,462,Jardim Botânico,Rio de Janeiro,sul
5500,98,2,0,2,739,435,Flamengo,Rio de Janeiro,sul
6200,130,3,3,1,2648,738,Leblon,Rio de Janeiro,sul
2400,90,3,0,3,0,0,Coelho Neto,Rio de Janeiro,norte
1470,117,3,0,1,495,50,Piedade,Rio de Janeiro,norte
350,40,1,0,1,0,0,Campo Grande,Rio de Janeiro,oeste
4000,172,4,5,3,0,0,Higienópolis,Rio de Janeiro,norte
1558,70,2,0,1,400,58,Grajaú,Rio de Janeiro,norte
3000,156,3,1,3,1800,550,Copacabana,Rio de Janeiro,sul
750,42,2,1,1,280,10,Campo Grande,Rio de Janeiro,oeste
650,10,1,1,1,0,18,Campo Grande,Rio de Janeiro,oeste
500,47,1,0,1,220,0,Engenho Novo,Rio de Janeiro,norte
1500,54,2,0,1,180,0,Vila Isabel,Rio de Janeiro,norte
6300,204,3,1,3,2464,934,Botafogo, Rio de Janeiro,sul
1200,75,2,0,1,0,0,Jardim Guanabara,Rio de Janeiro,norte
2890,68,3,1,2,450,82,Pechincha,Rio de Janeiro,oeste
1200,78,2,1,1,120,0,Penha Circular,Rio de Janeiro,norte
890,45,2,1,1,720,0,Todos os Santos,Rio de Janeiro,norte
700,100,2,1,2,900,0,Praça Seca,Rio de Janeiro,oeste
1100,60,2,0,1,0,0,Rocha Miranda,Rio de Janeiro,norte
5000,220,4,1,3,2205,635,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1700,250,3,1,2,300,10,Rocha,Rio de Janeiro,norte
600,30,2,0,1,0,0,Santíssimo,Rio de Janeiro,oeste
1000,48,2,1,1,460,0,Freguesia de Jacarepaguá,Rio de Janeiro,oeste
1100,120,3,2,2,300,0,Penha Circular,Rio de Janeiro,norte
1800,36,1,0,1,600,108,Copacabana,Rio de Janeiro,sul
750,60,1,0,1,0,0,Rocha Miranda,Rio de Janeiro,norte
1300,50,2,0,2,0,0,Realengo,Rio de Janeiro,oeste
2000,76,2,1,1,895,127,Maracanã, Rio de Janeiro,norte
5990,80,2,0,2,1399,292,Ipanema, Rio de Janeiro,sul
1400,43,1,0,1,260,0,Piedade,Rio de Janeiro,norte
750,55,2,1,1,290,0,Jardim América,Rio de Janeiro,norte
780,50,1,0,1,0,0,Taquara,Rio de Janeiro,oeste
2100,138,3,1,2,1260,199,Tijuca,Rio de Janeiro,norte
1000,50,1,1,1,330,0,Todos os Santos,Rio de Janeiro,norte
800,25,1,0,1,300,0,Freguesia de Jacarepaguá,Rio de Janeiro,oeste
900,21,1,0,1,0,0,Freguesia,Rio de Janeiro,norte
1340,111,2,1,1,90,0,Campo Grande,Rio de Janeiro,oeste
2500,100,3,0,2,1300,260,Botafogo, Rio de Janeiro,sul
980,44,1,0,1,348,0,São Cristóvão,Rio de Janeiro,centro
3600,120,2,1,3,1100,120,Cosme Velho,Rio de Janeiro,sul
1450,89,3,0,2,535,110,Maracanã,Rio de Janeiro,norte
600,75,2,0,1,420,54,Engenho De Dentro,Rio de Janeiro,norte
1500,49,2,1,1,386,500,Del Castilho,Rio de Janeiro,norte
