Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
9000,270,4,1,3,2300,600,Botafogo,Rio de Janeiro,sul
2100,70,2,1,2,500,125,Camorim,Rio de Janeiro,oeste
3800,108,3,0,1,1250,544,Copacabana,Rio de Janeiro,sul
1500,93,2,1,3,550,142,Taquara,Rio de Janeiro,oeste
2800,125,4,2,3,600,105,Penha Circular,Rio de Janeiro,norte
4000,162,3,2,3,817,367,Jardim Guanabara,Rio de Janeiro,norte
1400,65,2,1,2,40,13,Engenho Novo,Rio de Janeiro,norte
2000,80,3,2,2,737,80,Andaraí,Rio de Janeiro,norte
2250,94,3,1,3,796,119,Maracanã,Rio de Janeiro,norte
1200,55,2,1,1,650,51,Taquara,Rio de Janeiro,oeste
1450,56,2,0,1,115,0,Andaraí,Rio de Janeiro,norte
1400,60,2,2,1,0,0,Cascadura,Rio de Janeiro,norte
3100,71,2,1,2,900,88,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
3500,500,2,3,5,0,200,Pedra de Guaratiba,Rio de Janeiro,oeste
1000,50,2,1,1,495,50,Cachambi,Rio de Janeiro,norte
1400,90,3,0,2,0,0,Estácio,Rio de Janeiro,centro
5000,100,2,1,2,960,309,Copacabana,Rio de Janeiro,sul
2000,50,2,2,2,600,45,Inhaúma,Rio de Janeiro,norte
1200,60,2,1,2,800,55,Pechincha,Rio de Janeiro,oeste
1000,50,2,1,2,900,50,Taquara,Rio de Janeiro,oeste
1210,45,2,0,1,250,67,Taquara,Rio de Janeiro,oeste
1000,60,2,1,1,570,0,Praça Seca,Rio de Janeiro,oeste
950,32,1,0,1,336,0,Freguesia de Jacarepaguá,Rio de Janeiro,oeste
1800,65,2,1,1,630,90,Pechincha,Rio de Janeiro,oeste
1200,60,2,1,2,543,0,Grajaú,Rio de Janeiro,norte
1000,73,2,1,2,120,55,Vicente de Carvalho,Rio de Janeiro,norte
900,60,1,1,1,780,576,Pechincha,Rio de Janeiro,oeste
1300,50,1,0,1,451,0,Andaraí,Rio de Janeiro,norte
1200,65,2,0,1,145,0,Bangu,Rio de Janeiro,oeste
1780,85,3,1,2,1101,182,Méier,Rio de Janeiro,norte
1400,72,3,1,2,620,0,Irajá,Rio de Janeiro,norte
3500,105,3,2,2,1350,209,Copacabana,Rio de Janeiro,sul
2000,200,2,1,2,0,84,Vargem Pequena,Rio de Janeiro,oeste
2890,160,2,2,3,2250,380,Jacarepaguá,Rio de Janeiro,oeste
1300,45,2,1,1,465,62,Vargem Pequena,Rio de Janeiro,oeste
1600,57,2,1,2,500,85,Piedade,Rio de Janeiro,norte
4600,85,2,1,2,1171,462,Jardim Botânico,Rio de Janeiro,sul
2000,60,3,0,1,0,500,Cascadura,Rio de Janeiro,norte
2000,48,1,0,1,580,116,Botafogo,Rio de Janeiro,sul
900,60,3,1,2,290,25,Campo Grande,Rio de Janeiro,oeste
1000,40,2,1,1,222,0,Pechincha,Rio de Janeiro,oeste
2100,100,3,3,2,0,0,Rocha Miranda,Rio de Janeiro,norte
2575,67,1,1,1,1381,318,Barra da Tijuca,Rio de Janeiro,oeste
2200,74,2,1,1,620,50,Grajaú,Rio de Janeiro,norte
900,43,2,1,1,335,0,Cascadura,Rio de Janeiro,norte
2500,90,3,1,3,750,170,Anil,Rio de Janeiro,oeste
5000,70,2,0,1,350,67,Olaria,Rio de Janeiro,norte
1100,77,2,0,1,0,0,Brás de Pina,Rio de Janeiro,norte
871,65,2,1,1,250,0,Guaratiba,Rio de Janeiro,oeste
2500,65,2,0,1,730,131,Flamengo,Rio de Janeiro,sul
1400,55,2,0,1,143,55,Gamboa,Rio de Janeiro,centro
1700,50,2,1,2,0,0,Ribeira,Rio de Janeiro,norte
5400,74,2,1,2,863,300,Laranjeiras,Rio de Janeiro,sul
1300,42,1,1,1,962,70,Jacarepaguá,Rio de Janeiro,oeste
1700,40,1,1,1,680,80,Freguesia,Rio de Janeiro,norte
1350,45,2,1,2,585,471,Maria da Graça,Rio de Janeiro,norte
1700,40,1,1,1,680,75,Freguesia,Rio de Janeiro,norte
1000,50,2,1,1,370,0,Irajá,Rio de Janeiro,norte
2700,80,2,0,2,800,136,Flamengo,Rio de Janeiro,sul
1190,55,2,0,1,877,0,Rio Comprido,Rio de Janeiro,centro
1800,67,2,1,1,0,0,Olaria,Rio de Janeiro,norte
2500,130,3,2,3,700,308,Jardim Guanabara,Rio de Janeiro,norte
4500,136,3,2,4,396,71,Taquara,Rio de Janeiro,oeste
1500,50,2,1,1,600,0,Ramos,Rio de Janeiro,norte
1980,50,2,0,2,750,100,Copacabana,Rio de Janeiro,sul
2600,79,2,1,2,1300,98,Tijuca,Rio de Janeiro,norte
1300,100,2,1,1,650,42,Méier,Rio de Janeiro,norte
1320,58,2,1,1,0,0,Campo Grande,Rio de Janeiro,oeste
1900,60,2,0,1,90,0,Vila Isabel,Rio de Janeiro,norte
3200,35,1,0,1,950,219,Leblon,Rio de Janeiro,sul
2600,64,2,1,2,550,83,Tijuca,Rio de Janeiro,norte
1500,72,3,1,2,500,72,Taquara,Rio de Janeiro,oeste
1500,55,2,1,1,100,0,Cidade De Deus, Rio de Janeiro,oeste
2400,140,3,2,2,100,0,Tanque, Rio de Janeiro,oeste
714,43,1,0,1,0,50,Engenho De Dentro,Rio de Janeiro,norte
1360,50,2,2,1,50,0,Vargem Grande,Rio de Janeiro,oeste
1300,67,2,1,1,0,0,Praça Seca,Rio de Janeiro,oeste
1100,35,1,0,1,550,0,Santa Teresa,Rio de Janeiro,centro
1150,75,2,1,1,742,65,Méier,Rio de Janeiro,norte
1100,50,2,1,1,0,0,Guadalupe,Rio de Janeiro,norte
1200,90,2,0,1,0,21,Piedade,Rio de Janeiro,norte
950,47,2,1,1,598,0,Olaria,Rio de Janeiro,norte
6900,188,3,2,3,1050,431,Lagoa,Rio de Janeiro,sul
3200,89,2,1,1,930,198,Humaitá,Rio de Janeiro,sul
1100,50,2,0,1,500,46,Vargem Pequena,Rio de Janeiro,oeste
850,45,1,0,1,553,0,Engenho Novo,Rio de Janeiro,norte
1075,45,2,1,1,200,25,Campo Grande,Rio de Janeiro,oeste
1000,50,2,0,2,350,0,Tomás Coelho,Rio de Janeiro,norte
1250,67,3,1,2,710,48,Méier,Rio de Janeiro,norte
680,62,2,0,2,200,0,Cascadura,Rio de Janeiro,norte
900,45,1,0,1,500,0,Méier,Rio de Janeiro,norte
1300,40,1,0,1,584,0,Tijuca,Rio de Janeiro,norte
1400,78,3,0,2,450,0,Andaraí,Rio de Janeiro,norte
2300,55,2,1,2,500,110,Pechincha, Rio de Janeiro,oeste
